Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C19",0805,3,1uF,
"C10, C7, C8, C9",0805,4,10uF,
"C11, C14, C15, C2, C20, C21",0805,6,100nF,
"C12, C13",0805,2,2.2uF,
"C16, C17",0805,2,2.2nF,
"C3, C4, C5",0805,3,0.1uF,
C6,0805,1,22uF,
CARD1,TF-SMD_TF-01A,1,TF-01A,C91145
CN1,AUDIO-SMD_PJ-35825,1,PJ-35825,C2764616
"D1, D2",0805,2,LED_Small, C389524 
D3,D_SOD-123,1,1N5819,
MIC1,MIC-SMD_5P-L3.0-W4.0-P0.85-BL,1,MP34DT05TR-A,C2688664
R1,0805,1,1k,
"R10, R11, R12, R37, R6, R7, R8, R9",0805,8,10k,
"R13, R24, R27, R31",0805,4,4.7k,
R14,0805,1,1k,
"R15, R16, R17, R18, R19, R20, R21, R22, R23, R25, R26, R28",0805,12,20k,
"R2, R3, R4, R40, R5",0805,5,0k,
"R29, R30",0805,2,5.11K,
"R32, R33, R34, R35, R36",0805,5,470R,
R38,0805,1,100R,
SW1,SW-SMD_EM-04KP,1,SW_DIP_x04, C129080 
"SW4, SW5",SW-SMD_4P_PTS810SJM250SMTRLFS,2,PTS810SJG250SMTRLFS,C221895
U1,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C2913206
"U2, U6",SOT-223-3_TabPin2,2,AMS1117 3.3v,
U3,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-TL,1,AT42QT2120-XUR_C619526,C619526
U4,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,PCM5102APWR,C107671
USBC1,USB-C_SMD-TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
