Designator,Mid X,Mid Y,Rotation,Layer
C1,40.267157,-41.775,0.0,top
C10,33.067157,-54.475,0.0,top
C11,36.0,-67.4,180.0,top
C12,33.1,-69.2,90.0,top
C13,33.1,-72.7,90.0,top
C14,37.2,-77.9,180.0,top
C15,37.2,-80.0,180.0,top
C16,30.067157,-76.975,180.0,top
C17,30.067157,-69.3,0.0,top
C18,23.967157,-69.575,180.0,top
C19,28.067157,-79.475,180.0,top
C2,41.967157,-35.575,0.0,top
C20,43.923527,-67.698808,0.0,top
C21,43.923527,-69.798808,0.0,top
C3,37.567157,-32.975,0.0,top
C4,25.567157,-54.475,0.0,top
C5,22.567157,-35.975,180.0,top
C6,22.067157,-54.475,180.0,top
C7,59.267157,-27.975,180.0,top
C8,50.267157,-34.175,180.0,top
C9,32.1,-64.475,0.0,top
CARD1,24.287157,-26.675,270.0,top
CN1,22.357157,-74.65,0.0,top
D1,55.2,-21.1,90.0,top
D2,54.867157,-26.375,90.0,top
D3,25.167157,-66.375,180.0,top
MIC1,42.147157,-38.775,0.0,top
R1,57.25,-21.075,90.0,top
R10,32.604657,-25.875,0.0,top
R11,32.604657,-23.675,0.0,top
R12,32.604657,-21.475,0.0,top
R13,38.567157,-51.775,180.0,top
R14,57.167157,-24.975,270.0,top
R15,50.5,-68.0,0.0,top
R16,50.5,-71.45,0.0,top
R17,50.5,-64.5,0.0,top
R18,50.5,-78.45,0.0,top
R19,50.5,-61.0,0.0,top
R2,24.567157,-61.975,0.0,top
R20,50.5,-74.95,0.0,top
R21,50.5,-57.5,0.0,top
R22,50.5,-54.0,0.0,top
R23,50.5,-50.5,0.0,top
R24,38.567157,-45.175,180.0,top
R25,50.5,-47.0,0.0,top
R26,50.5,-43.5,0.0,top
R27,38.567157,-47.375,180.0,top
R28,50.5,-40.0,0.0,top
R29,24.567157,-63.975,180.0,top
R3,24.567157,-59.975,0.0,top
R30,24.567157,-57.975,180.0,top
R31,38.567157,-49.575,180.0,top
R32,30.067157,-71.475,0.0,top
R33,30.067157,-74.975,0.0,top
R34,43.923527,-71.848808,0.0,top
R35,43.95,-73.85,0.0,top
R36,44.35,-75.9,0.0,top
R37,43.95,-77.9,0.0,top
R38,56.267157,-16.875,180.0,top
R4,37.567157,-26.975,0.0,top
R40,18.367157,-54.475,180.0,top
R5,31.5,-18.0875,270.0,top
R6,26.067157,-35.975,180.0,top
R7,32.604657,-32.275,0.0,top
R8,32.604657,-30.175,0.0,top
R9,32.604657,-28.075,0.0,top
SW1,46.9,-26.775,90.0,top
SW4,37.6,-30.0,0.0,top
SW5,37.6,-23.9,0.0,top
U1,27.717157,-45.125,90.0,top
U2,57.317157,-32.875,180.0,top
U3,42.8,-57.474999,90.0,top
U4,38.273752,-72.638914,180.0,top
U6,31.567157,-59.475,180.0,top
USBC1,18.807157,-61.085,270.0,top
